iter	Passed	Remaining
0	2	220
1	4	203
2	6	196
3	7	178
4	8	170
5	10	162
6	12	161
7	14	168
8	16	165
9	17	160
10	19	155
11	20	151
12	22	148
13	23	146
14	25	142
15	26	139
16	27	136
17	29	132
18	30	130
19	32	129
20	33	127
21	35	125
22	36	123
23	38	120
24	39	118
25	41	116
26	42	115
27	43	113
28	45	111
29	46	109
30	48	107
31	49	105
32	51	104
33	52	102
34	53	100
35	55	98
36	56	96
37	57	94
38	59	92
39	60	91
40	62	89
41	62	86
42	64	85
43	65	83
44	67	82
45	69	81
46	84	95
47	87	94
48	89	92
49	90	90
50	91	88
51	92	85
52	94	83
53	95	81
54	96	79
55	98	77
56	99	74
57	100	72
58	102	71
59	104	69
60	106	68
61	108	66
62	109	64
63	111	62
64	112	60
65	114	58
66	115	57
67	117	55
68	119	53
69	120	51
70	122	49
71	123	48
72	125	46
73	126	44
74	128	42
75	129	40
76	131	39
77	132	37
78	134	35
79	136	34
80	137	32
81	139	30
82	140	28
83	142	27
84	144	25
85	145	23
86	147	22
87	149	20
88	151	18
89	152	16
90	154	15
91	155	13
92	157	11
93	159	10
94	162	8
95	164	6
96	166	5
97	168	3
98	170	1
99	172	0
