iter	Passed	Remaining
0	168	167954
1	170	85144
2	173	57691
3	177	44283
4	180	35897
5	183	30331
6	185	26379
7	190	23591
8	192	21191
9	194	19248
10	197	17733
11	199	16445
12	202	15349
13	205	14504
14	208	13684
15	210	12967
16	214	12385
17	216	11817
18	221	11411
19	223	10973
20	226	10562
21	229	10193
22	233	9918
23	235	9591
24	239	9335
25	242	9091
26	245	8859
27	253	8810
28	256	8597
29	259	8394
30	264	8268
31	266	8072
32	269	7897
33	272	7730
34	274	7573
35	279	7484
36	283	7367
37	285	7230
38	288	7112
39	291	6986
40	295	6901
41	297	6791
42	300	6687
43	304	6619
44	307	6535
45	310	6448
46	314	6370
47	347	6891
48	349	6792
49	352	6695
50	356	6631
51	360	6569
52	369	6601
53	391	6865
54	396	6806
55	399	6730
56	406	6731
57	413	6711
58	415	6632
59	419	6564
60	421	6495
61	425	6436
62	428	6376
63	437	6392
64	438	6314
65	444	6289
66	447	6231
67	449	6161
68	452	6100
69	454	6042
70	460	6023
71	463	5974
72	465	5915
73	468	5866
74	479	5910
75	482	5862
76	485	5815
77	495	5858
78	498	5816
79	502	5781
80	505	5735
81	508	5696
82	510	5636
83	512	5590
84	519	5596
85	552	5874
86	554	5820
87	556	5769
88	558	5720
89	561	5678
90	567	5671
91	570	5626
92	572	5581
93	574	5541
94	577	5500
95	579	5461
96	582	5426
97	585	5391
98	589	5362
99	593	5341
100	595	5303
101	598	5269
102	601	5236
103	604	5209
104	609	5198
105	612	5165
106	616	5145
107	619	5117
108	624	5103
109	627	5078
110	630	5052
111	633	5026
112	639	5018
113	642	4994
114	645	4971
115	649	4947
116	653	4932
117	656	4910
118	659	4884
119	664	4869
120	671	4874
121	672	4842
122	675	4819
123	679	4799
124	684	4794
125	687	4771
126	690	4743
127	693	4721
128	696	4700
129	702	4702
130	705	4679
131	708	4656
132	711	4635
133	717	4634
134	759	4867
135	767	4876
136	783	4937
137	790	4938
138	798	4947
139	801	4924
140	805	4907
141	807	4878
142	812	4871
143	815	4847
144	818	4824
145	825	4830
146	834	4840
147	855	4927
148	861	4922
149	865	4904
150	870	4895
151	874	4877
152	880	4872
153	882	4848
154	885	4824
155	889	4812
156	928	4987
157	932	4966
158	935	4947
159	938	4926
160	943	4917
161	947	4900
162	953	4896
163	958	4883
164	960	4860
165	963	4840
166	966	4821
167	995	4928
168	1008	4956
169	1013	4946
170	1024	4964
171	1027	4948
172	1030	4925
173	1034	4909
174	1038	4894
175	1040	4873
176	1096	5097
177	1099	5075
178	1102	5054
179	1105	5034
180	1112	5035
181	1116	5016
182	1119	4996
183	1125	4990
184	1127	4968
185	1131	4951
186	1135	4936
187	1144	4941
188	1158	4973
189	1163	4960
190	1174	4975
191	1179	4962
192	1182	4945
193	1188	4936
194	1192	4921
195	1194	4901
196	1244	5072
197	1247	5053
198	1254	5047
199	1257	5028
200	1259	5006
201	1262	4985
202	1270	4990
203	1274	4972
204	1277	4954
205	1285	4955
206	1288	4934
207	1290	4914
208	1292	4892
209	1300	4891
210	1302	4870
211	1305	4852
212	1308	4834
